,Time,Freq,Angle1,Angle2,Phase
0,2.28,1.1883,-0.267,0.963,-1.23
1,3.12,1.1905,-0.27,0.963,-1.233
2,3.96,1.1921,-0.265,0.963,-1.228
3,4.8,1.1931,-0.262,0.964,-1.226
4,5.64,1.1937,-0.258,0.963,-1.221
5,6.48,1.194,-0.256,0.963,-1.2189999999999999
6,7.32,1.194,-0.259,0.963,-1.222
7,8.14,1.1939,-0.265,0.961,-1.226
8,8.98,1.1936,-0.269,0.961,-1.23
9,9.82,1.1932,-0.265,0.961,-1.226
10,10.66,1.1929,-0.262,0.964,-1.226
11,11.5,1.1926,-0.261,0.964,-1.225
12,12.34,1.1923,-0.253,0.963,-1.216
13,13.18,1.1921,-0.259,0.963,-1.222
14,14.02,1.1921,-0.261,0.963,-1.224
15,14.86,1.1921,-0.261,0.963,-1.224
16,15.7,1.1922,-0.259,0.963,-1.222
17,16.54,1.1924,-0.259,0.963,-1.222
18,17.38,1.1916,-0.258,0.963,-1.221
19,18.22,1.1932,-0.256,0.963,-1.2189999999999999
20,19.04,1.1947,-0.267,0.963,-1.23
21,19.88,1.1961,-0.269,0.963,-1.232
22,20.72,1.1946,-0.265,0.963,-1.228
23,21.56,1.1939,-0.27,0.961,-1.2309999999999999
24,22.4,1.193,-0.27,0.961,-1.2309999999999999
25,23.24,1.1907,-0.269,0.961,-1.23
26,24.08,1.1906,-0.264,0.963,-1.2269999999999999
27,24.92,1.19,-0.267,0.963,-1.23
28,25.76,1.188,-0.265,0.963,-1.228
29,26.6,1.1881,-0.267,0.963,-1.23
30,27.44,1.1878,-0.267,0.963,-1.23
31,28.28,1.1862,-0.27,0.961,-1.2309999999999999
32,29.14,1.1869,-0.262,0.963,-1.225
33,29.98,1.1863,-0.264,0.963,-1.2269999999999999
34,30.82,1.1881,-0.265,0.963,-1.228
35,31.66,1.1856,-0.265,0.963,-1.228
36,32.5,1.185,-0.267,0.963,-1.23
37,33.34,1.1848,-0.267,0.963,-1.23
38,34.18,1.1858,-0.269,0.963,-1.232
39,35.04,1.1846,-0.258,0.961,-1.2189999999999999
40,35.88,1.1836,-0.262,0.963,-1.225
41,36.72,1.1839,-0.267,0.963,-1.23
42,37.58,1.1818,-0.261,0.961,-1.222
43,38.42,1.1812,-0.265,0.963,-1.228
44,39.26,1.1784,-0.27,0.961,-1.2309999999999999
45,40.12,1.176,-0.261,0.963,-1.224
46,40.96,1.1749,-0.27,0.963,-1.233
47,41.82,1.1742,-0.261,0.963,-1.224
48,42.66,1.1732,-0.272,0.963,-1.2349999999999999
49,43.52,1.1728,-0.269,0.963,-1.232
50,44.38,1.1727,-0.267,0.963,-1.23
51,45.24,1.1726,-0.262,0.963,-1.225
52,46.08,1.1724,-0.27,0.963,-1.233
