"Time (s) Run #16","Angle, Ch P1 (rad) Run #16","Angle, Ch P2 (rad) Run #16","AngleAmp (rad) Run #16","DrivingFrequency (Hz) Run #16","freq (Hz) Run #16","AngVel (rad/s) Run #16","DriverAngleVel (rad/s) Run #16"
0.000,-0.006,0.016,,,,,
0.020,-0.030,0.108,,,,,
0.040,-0.057,0.210,,,,-1.3221,5.3145
0.060,-0.083,0.322,,,,-1.3744,5.6680
0.080,-0.112,0.440,,,,-1.3875,5.8905
0.100,-0.140,0.559,,,,-1.3744,5.9559
0.120,-0.167,0.680,,,,-1.3352,5.8774
0.140,-0.193,0.796,,,,-1.2697,5.6549
0.160,-0.218,0.908,,,,-1.1650,5.2753
0.180,-0.240,1.010,,,,-1.0210,4.7386
0.200,-0.259,1.100,,,,-0.8508,4.0710
0.220,-0.275,1.173,,,,-0.6676,3.2987
0.240,-0.286,1.233,,,,-0.4843,2.4086
0.260,-0.294,1.272,,,,-0.2880,1.4137
0.280,-0.298,1.290,,,,-0.0785,0.3796
0.300,-0.297,1.286,,,,0.1440,-0.6414
0.320,-0.292,1.264,,,,0.3534,-1.6493
0.340,-0.283,1.221,,,,0.5367,-2.6311
0.360,-0.270,1.158,,,,0.7069,-3.5212
0.380,-0.254,1.078,,,,0.8508,-4.2804
0.400,-0.236,0.985,,,,0.9817,-4.9087
0.420,-0.215,0.880,,,,1.0865,-5.3931
0.440,-0.192,0.767,,,,1.1519,-5.7334
0.460,-0.168,0.649,,,,1.1912,-5.9036
0.480,-0.145,0.528,,,,1.1912,-5.9298
0.500,-0.119,0.410,,,,1.1650,-5.8120
0.520,-0.097,0.294,,,,1.1126,-5.5632
0.540,-0.075,0.185,,,,1.0341,-5.1967
0.560,-0.055,0.085,,,,0.9294,-4.7124
0.580,-0.038,-0.005,,,,0.7854,-4.1364
0.600,-0.024,-0.082,,,,0.6152,-3.4688
0.620,-0.013,-0.145,,,,0.4451,-2.7227
0.640,-0.006,-0.192,,,,0.2618,-1.9242
0.660,-0.002,-0.221,,,,0.0785,-1.0996
0.680,-0.003,-0.236,,,,-0.1047,-0.2618
0.700,-0.006,-0.232,,,,-0.3011,0.5890
0.720,-0.014,-0.212,,,,-0.4843,1.4399
0.740,-0.027,-0.174,,,,-0.6676,2.2646
0.760,-0.041,-0.121,,,,-0.8116,3.0500
0.780,-0.060,-0.052,,,,-0.9294,3.7699
0.800,-0.079,0.031,,,,-1.0341,4.4113
0.820,-0.101,0.126,,,,-1.1257,4.9349
0.840,-0.124,0.231,,,,-1.1912,5.3538
0.860,-0.149,0.341,,,,-1.2174,5.6811
0.880,-0.173,0.459,,,,-1.2043,5.9036
0.900,-0.198,0.580,,,,-1.1650,5.9690
0.920,-0.220,0.701,,,,-1.0996,5.8512
0.940,-0.242,0.815,,,,-0.9948,5.5894
0.960,-0.261,0.925,,,,-0.8639,5.1967
0.980,-0.276,1.026,,,,-0.7069,4.6469
1.000,-0.289,1.114,,,,-0.5367,3.9532
1.020,-0.298,1.184,,,,-0.3534,3.1416
1.040,-0.303,1.241,,,,-0.1571,2.2384
